Id,Building Class,Zoning Classification,Lot Frontage Length,Lot Area Square Feet,Road Type,Alley Access,Lot Shape,Land Contour,Utility Availability,Lot Configuration,Land Slope,Neighborhood Name,Primary Proximity Condition,Secondary Proximity Condition,Building Type,House Style,Overall Material Quality,Overall Condition Rating,Construction Year,Remodel Year,Roof Style,Roof Material,Primary Exterior Material,Secondary Exterior Material,Masonry Veneer Type,Masonry Veneer Area,Exterior Quality,Exterior Condition,Foundation Type,Basement Height Quality,Basement Condition,Basement Exposure Level,Basement Finish Type One,Basement Finished Area One,Basement Finish Type Two,Basement Finished Area Two,Basement Unfinished Area,Total Basement Area,Heating System,Heating Quality,Central Air Conditioning,Electrical System,First Floor Area,Second Floor Area,Low Quality Finished Area,Above Ground Living Area,Basement Full Bathrooms,Basement Half Bathrooms,Full Bathrooms,Half Bathrooms,Bedrooms Above Ground,Kitchens Above Ground,Kitchen Quality,Total Rooms Above Ground,Home Functionality,Number of Fireplaces,Fireplace Quality,Garage Type,Garage Construction Year,Garage Finish Level,Garage Capacity Cars,Garage Area Square Feet,Garage Quality,Garage Condition,Driveway Paving,Wood Deck Area,Open Porch Area,Enclosed Porch Area,Three Season Porch Area,Screen Porch Area,Pool Area,Pool Quality,Fence Type,Miscellaneous Feature,Miscellaneous Value,Month Sold,Year Sold,Sale Type,Sale Condition,House Sale Price
801,60,Residential Low Density,79.0,12798,Paved Road,,Slightly Irregular,HillSide,All Public Utilities,Inside,Moderate Slope,Clear Creek,Adjacent to feeder street,Normal,Single Family Detached,Two story,6,5,1997,1997,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,,0.0,Typical Average,Typical Average,Poured Concrete,Good,Typical Average,Good,Good Living Quarters,462,Unfinished,0,154,616,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,616,1072,0,1688,1,0,2,1,4,1,Good,8,Typical Functionality,0,,Attached to home,1997.0,Rough Finished,2,603,Typical Average,Typical Average,Yes,403,114,185,0,0,0,,,Shed (over 100 SF),400,5,2008,Warranty Deed - Conventional,Normal Sale,200000
802,30,Residential Medium Density,40.0,4800,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Iowa DOT and Rail Road,Normal,Normal,Single Family Detached,One story,4,7,1916,1990,Gable,Standard Composite Shingle,Metal Siding,Metal Siding,,0.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,No Exposure,Low Quality,197,Unfinished,0,999,1196,Gas forced warm air furnace,Excellent,Yes,Fuse Box over 60 AMP (Average),1196,0,0,1196,1,0,1,0,2,1,Typical Average,5,Typical Functionality,0,,Detached from home,1957.0,Unfinished,2,440,Typical Average,Typical Average,Yes,0,0,0,0,0,0,,,,0,7,2007,Warranty Deed - Conventional,Normal Sale,109900
803,60,Residential Low Density,63.0,8199,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,College Creek,Normal,Normal,Single Family Detached,Two story,7,5,2005,2005,Gable,Standard Composite Shingle,WdShing,Wd Shng,,0.0,Good,Typical Average,Poured Concrete,Good,Typical Average,Average Exposure,Good Living Quarters,648,Unfinished,0,80,728,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,728,728,0,1456,1,0,2,1,3,1,Good,7,Typical Functionality,1,Good,Attached to home,2005.0,Finished,2,410,Typical Average,Typical Average,Yes,36,18,0,0,0,0,,,,0,10,2008,Warranty Deed - Conventional,Normal Sale,189000
804,60,Residential Low Density,107.0,13891,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Northridge Heights,Normal,Normal,Single Family Detached,Two story,9,5,2008,2009,Hip,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,Stone,424.0,Excellent,Typical Average,Poured Concrete,Excellent,Typical Average,Good,Unfinished,0,Unfinished,0,1734,1734,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1734,1088,0,2822,0,0,3,1,4,1,Excellent,12,Typical Functionality,1,Good,Built-In (part of house),2009.0,Rough Finished,3,1020,Typical Average,Typical Average,Yes,52,170,0,0,192,0,,,,0,1,2009,Home just constructed and sold,Partial Sale,582933
805,20,Residential Low Density,75.0,9000,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,North Ames,Normal,Normal,Single Family Detached,One story,5,5,1954,1954,Gable,Standard Composite Shingle,Wood Siding,Wood Siding,,0.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,No Exposure,Low Quality,812,Unfinished,0,124,936,Gas forced warm air furnace,Typical Average,Yes,Standard Circuit Breakers & Romex,1128,0,0,1128,0,0,1,0,2,1,Typical Average,5,Minor Deductions One,0,,Attached to home,1954.0,Unfinished,1,286,Typical Average,Typical Average,Yes,0,0,0,0,0,0,,Good Wood,,0,6,2006,Warranty Deed - Conventional,Family Sale,118000
806,20,Residential Low Density,91.0,12274,Paved Road,,Slightly Irregular,Level,All Public Utilities,FR2,Gentle Slope,Somerset,Normal,Normal,Single Family Detached,One story,7,5,2008,2008,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,Stone,256.0,Good,Typical Average,Poured Concrete,Good,Typical Average,No Exposure,Unfinished,0,Unfinished,0,1417,1417,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1428,0,0,1428,0,0,2,0,3,1,Excellent,6,Typical Functionality,0,,Attached to home,2008.0,Rough Finished,2,554,Typical Average,Typical Average,Yes,0,60,0,0,0,0,,,,0,7,2008,Home just constructed and sold,Partial Sale,227680
807,80,Residential Low Density,75.0,9750,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,North Ames,Normal,Normal,Single Family Detached,Split Level,5,5,1967,1967,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,,0.0,Typical Average,Typical Average,Poured Concrete,Typical Average,Typical Average,Average Exposure,Average Living Quarters,400,Average Rec Room,480,100,980,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,980,0,0,980,0,0,2,0,3,1,Typical Average,6,Typical Functionality,0,,Attached to home,1967.0,Finished,1,384,Typical Average,Typical Average,Yes,68,0,0,0,0,0,,,,0,10,2006,Warranty Deed - Conventional,Normal Sale,135500
808,70,Residential Low Density,144.0,21384,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Brookside,Normal,Normal,Single Family Detached,Two story,5,6,1923,2004,Gable,Standard Composite Shingle,Wood Siding,Wood Siding,,0.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,Good,Good Living Quarters,1309,Unfinished,0,15,1324,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1072,504,0,1576,2,0,1,1,3,1,Good,6,Typical Functionality,1,Typical Average,Attached to home,1923.0,Rough Finished,2,528,Typical Average,Typical Average,Yes,0,312,0,0,0,0,,,,0,5,2009,Warranty Deed - Conventional,Normal Sale,223500
809,80,Residential Low Density,85.0,13400,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,North Ames,Normal,Normal,Single Family Detached,Split Level,5,5,1966,1966,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,Brick Face,1047.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,Average Exposure,Average Living Quarters,516,Below Average Living Quarters,128,380,1024,Gas forced warm air furnace,Typical Average,Yes,Standard Circuit Breakers & Romex,1086,0,0,1086,1,0,1,0,3,1,Typical Average,6,Typical Functionality,1,Good,Attached to home,1966.0,Rough Finished,2,484,Typical Average,Typical Average,Yes,0,0,0,0,0,0,,Good Wood,,0,6,2006,Warranty Deed - Conventional,Normal Sale,159950
810,75,Residential Medium Density,90.0,8100,Paved Road,,Regular,Level,All Public Utilities,Corner,Gentle Slope,Old Town,Normal,Normal,Single Family Detached,Two and one-half story: 2nd level unfinished,5,5,1898,1965,Hip,Standard Composite Shingle,AsbShng,AsbShng,,0.0,Typical Average,Typical Average,Poured Concrete,Typical Average,Typical Average,No Exposure,Unfinished,0,Unfinished,0,849,849,Gas forced warm air furnace,Typical Average,No,Fuse Box over 60 AMP (Average),1075,1063,0,2138,0,0,2,0,2,3,Typical Average,11,Typical Functionality,0,,Detached from home,1910.0,Unfinished,2,360,Fair,Poor,No,40,156,0,0,0,0,,Minimum Privacy,,0,11,2009,Warranty Deed - Conventional,Normal Sale,106000
811,20,Residential Low Density,78.0,10140,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,NWAmes,Normal,Normal,Single Family Detached,One story,6,6,1974,1999,Hip,Standard Composite Shingle,Hardboard Siding,Hardboard Siding,Brick Face,99.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,No Exposure,Average Living Quarters,663,Low Quality,377,0,1040,Gas forced warm air furnace,Fair,Yes,Standard Circuit Breakers & Romex,1309,0,0,1309,1,0,1,1,3,1,Good,5,Typical Functionality,1,Fair,Attached to home,1974.0,Rough Finished,2,484,Typical Average,Typical Average,Yes,265,0,0,0,0,648,Fair,Good Privacy,,0,1,2006,Warranty Deed - Conventional,Normal Sale,181000
812,120,Residential Medium Density,,4438,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,College Creek,Normal,Normal,Townhouse End Unit,One story,6,5,2004,2004,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,Brick Face,169.0,Good,Typical Average,Poured Concrete,Good,Typical Average,Good,Good Living Quarters,662,Unfinished,0,186,848,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,848,0,0,848,1,0,1,0,1,1,Good,4,Typical Functionality,1,Good,Attached to home,2004.0,Finished,2,420,Typical Average,Typical Average,Yes,140,0,0,0,0,0,,,,0,6,2008,Contract Low Down payment,Normal Sale,144500
813,20,Commercial,66.0,8712,Gravel Road,,Regular,Banked,All Public Utilities,Inside,Moderate Slope,Iowa DOT and Rail Road,Normal,Normal,Single Family Detached,One story,5,5,1952,1952,Hip,Standard Composite Shingle,Wood Siding,Wood Siding,,0.0,Fair,Typical Average,Cinder Block,Typical Average,Typical Average,Average Exposure,Unfinished,0,Unfinished,0,540,540,Gas forced warm air furnace,Typical Average,No,Fuse Box over 60 AMP (Average),1044,0,0,1044,0,0,1,0,2,1,Fair,4,Typical Functionality,0,,Basment,1952.0,Unfinished,2,504,Typical Average,Typical Average,No,0,0,0,0,0,0,,,Shed (over 100 SF),54,6,2010,Warranty Deed - Conventional,Allocation,55993
814,20,Residential Low Density,75.0,9750,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,North Ames,Normal,Normal,Single Family Detached,One story,6,6,1958,1958,Gable,Standard Composite Shingle,Metal Siding,Metal Siding,Brick Face,243.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,No Exposure,Average Rec Room,608,Unfinished,0,834,1442,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1442,0,0,1442,0,0,1,1,4,1,Typical Average,7,Typical Functionality,0,,Attached to home,1958.0,Rough Finished,1,301,Typical Average,Typical Average,Yes,0,0,275,0,0,0,,,Shed (over 100 SF),500,4,2007,Court Officer Deed/Estate,Normal Sale,157900
815,50,Residential Low Density,45.0,8248,Paved Road,Gravel Road,Regular,Level,All Public Utilities,Inside,Gentle Slope,Edwards,Normal,Normal,Single Family Detached,One and one-half story: 2nd level finished,5,7,1918,1950,Gable,Standard Composite Shingle,Stucco,Stucco,,0.0,Typical Average,Typical Average,Brick Tile,Typical Average,Typical Average,No Exposure,Unfinished,0,Unfinished,0,686,686,Gas hot water or steam heat,Good,Yes,Standard Circuit Breakers & Romex,686,564,0,1250,0,1,1,1,3,1,Fair,7,Typical Functionality,0,,Detached from home,1955.0,Unfinished,1,280,Typical Average,Typical Average,P,207,0,96,0,0,0,,,,0,7,2006,Warranty Deed - Conventional,Normal Sale,116000
816,20,Residential Low Density,48.0,12137,Paved Road,,Moderately Irregular,Level,All Public Utilities,CulDSac,Gentle Slope,College Creek,Normal,Normal,Single Family Detached,One story,7,5,1998,1998,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,Brick Face,442.0,Typical Average,Typical Average,Poured Concrete,Good,Typical Average,No Exposure,Unfinished,0,Unfinished,0,1649,1649,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1661,0,0,1661,0,0,2,0,3,1,Good,6,Typical Functionality,0,,Attached to home,1998.0,Rough Finished,2,598,Typical Average,Typical Average,Yes,0,34,0,0,0,0,,,,0,5,2010,Warranty Deed - Conventional,Normal Sale,224900
817,20,Residential Low Density,,11425,Paved Road,,Slightly Irregular,Level,All Public Utilities,Corner,Gentle Slope,North Ames,Normal,Normal,Single Family Detached,One story,5,6,1954,1954,Gable,Standard Composite Shingle,Brick Face,Brick Face,,0.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,No Exposure,Below Average Living Quarters,486,Unfinished,0,522,1008,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1008,0,0,1008,0,0,1,0,2,1,Typical Average,4,Typical Functionality,1,Good,Attached to home,1954.0,Rough Finished,1,275,Typical Average,Typical Average,Yes,0,0,120,0,0,0,,,,0,7,2006,Warranty Deed - Conventional,Normal Sale,137000
818,20,Residential Low Density,,13265,Paved Road,,Slightly Irregular,Level,All Public Utilities,CulDSac,Gentle Slope,Mitchell,Normal,Normal,Single Family Detached,One story,8,5,2002,2002,Hip,Standard Composite Shingle,CemntBd,CmentBd,Brick Face,148.0,Good,Typical Average,Poured Concrete,Good,Typical Average,No Exposure,Good Living Quarters,1218,Unfinished,0,350,1568,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1689,0,0,1689,1,0,2,0,3,1,Good,7,Typical Functionality,2,Good,Attached to home,2002.0,Rough Finished,3,857,Typical Average,Typical Average,Yes,150,59,0,0,0,0,,,,0,7,2008,Warranty Deed - Conventional,Normal Sale,271000
819,80,Residential Low Density,80.0,8816,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Clear Creek,Normal,Normal,Single Family Detached,Split Level,6,7,1971,1971,Gable,Standard Composite Shingle,Hardboard Siding,Hardboard Siding,Brick Face,80.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,Average Exposure,Good Living Quarters,504,Unfinished,0,506,1010,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1052,0,0,1052,1,0,1,0,3,1,Typical Average,6,Typical Functionality,0,,Attached to home,1971.0,Unfinished,2,440,Typical Average,Typical Average,Yes,0,0,0,0,0,0,,Minimum Privacy,,0,6,2010,Warranty Deed - Conventional,Normal Sale,155000
820,120,Residential Low Density,44.0,6371,Paved Road,,Slightly Irregular,Level,All Public Utilities,Inside,Gentle Slope,Northridge Heights,Normal,Normal,Townhouse End Unit,One story,7,5,2009,2010,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,Stone,128.0,Good,Typical Average,Poured Concrete,Good,Typical Average,Minimum Exposure,Good Living Quarters,733,Unfinished,0,625,1358,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1358,0,0,1358,1,0,2,0,2,1,Good,6,Typical Functionality,1,Good,Attached to home,2010.0,Rough Finished,2,484,Typical Average,Typical Average,Yes,192,35,0,0,0,0,,,,0,6,2010,Home just constructed and sold,Partial Sale,224000
821,60,Residential Low Density,72.0,7226,Paved Road,,Slightly Irregular,Level,All Public Utilities,CulDSac,Gentle Slope,College Creek,Normal,Normal,Single Family Detached,Two story,7,5,2003,2003,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,,0.0,Good,Typical Average,Poured Concrete,Good,Typical Average,No Exposure,Unfinished,0,Unfinished,0,798,798,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,798,842,0,1640,0,0,2,1,3,1,Good,6,Typical Functionality,0,,Attached to home,2003.0,Rough Finished,2,595,Typical Average,Typical Average,Yes,0,45,0,0,0,0,,,,0,6,2008,Warranty Deed - Conventional,Normal Sale,183000
822,20,Residential Medium Density,60.0,6000,Paved Road,Paved Road,Regular,Banked,All Public Utilities,Inside,Moderate Slope,Old Town,Normal,Normal,Two Family Conversion,One story,4,4,1953,1953,Gable,Standard Composite Shingle,Metal Siding,Metal Siding,,0.0,Fair,Typical Average,Cinder Block,Fair,Typical Average,No Exposure,Unfinished,0,Unfinished,0,936,936,Gas forced warm air furnace,Typical Average,No,Standard Circuit Breakers & Romex,936,0,0,936,0,0,1,0,2,1,Typical Average,4,Minor Deductions Two,0,,Detached from home,1974.0,Unfinished,2,576,Typical Average,Typical Average,Yes,0,32,112,0,0,0,,,,0,2,2009,Warranty Deed - Conventional,Normal Sale,93000
823,60,Residential Low Density,,12394,Paved Road,,Slightly Irregular,Level,All Public Utilities,Corner,Gentle Slope,Gilbert,Normal,Normal,Single Family Detached,Two story,7,5,2003,2003,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,,0.0,Good,Typical Average,Poured Concrete,Good,Typical Average,Good,Unfinished,0,Unfinished,0,847,847,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,847,886,0,1733,0,0,2,1,3,1,Good,7,Typical Functionality,1,Good,Built-In (part of house),2003.0,Finished,2,433,Typical Average,Typical Average,Yes,100,48,0,0,0,0,,,,0,10,2007,Warranty Deed - Conventional,Family Sale,225000
824,50,Residential Low Density,60.0,9900,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,South & West of Iowa State University,Normal,Normal,Single Family Detached,One and one-half story: 2nd level finished,6,7,1940,1950,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,,0.0,Typical Average,Typical Average,Brick Tile,Typical Average,Typical Average,No Exposure,Unfinished,0,Unfinished,0,778,778,Gas forced warm air furnace,Typical Average,Yes,Standard Circuit Breakers & Romex,944,545,0,1489,0,0,2,0,3,1,Typical Average,7,Typical Functionality,1,Good,Detached from home,1940.0,Unfinished,1,240,Typical Average,Typical Average,Yes,335,0,0,0,0,0,,Good Wood,,0,7,2009,Warranty Deed - Conventional,Normal Sale,139500
825,20,Floating Village Residential,81.0,11216,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Somerset,Normal,Normal,Single Family Detached,One story,8,5,2006,2006,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,,0.0,Good,Typical Average,Poured Concrete,Good,Good,No Exposure,Unfinished,0,Unfinished,0,1489,1489,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1489,0,0,1489,0,0,2,0,3,1,Good,7,Typical Functionality,1,Good,Attached to home,2006.0,Rough Finished,2,776,Typical Average,Typical Average,Yes,0,140,0,0,0,0,,,,0,6,2006,Home just constructed and sold,Partial Sale,232600
826,20,Residential Low Density,114.0,14803,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Northridge Heights,Near positive off-site feature,Near positive off-site feature,Single Family Detached,One story,10,5,2007,2008,Hip,Standard Composite Shingle,CemntBd,CmentBd,Brick Face,816.0,Excellent,Typical Average,Poured Concrete,Excellent,Typical Average,Average Exposure,Good Living Quarters,1636,Unfinished,0,442,2078,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2084,0,0,2084,1,0,2,0,2,1,Excellent,7,Typical Functionality,1,Good,Attached to home,2007.0,Finished,3,1220,Typical Average,Typical Average,Yes,188,45,0,0,0,0,,,,0,6,2008,Home just constructed and sold,Partial Sale,385000
827,45,Residential Medium Density,50.0,6130,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Brookside,Normal,Normal,Single Family Detached,One and one-half story: 2nd level unfinished,5,6,1924,1950,Gable,Standard Composite Shingle,Metal Siding,Metal Siding,,0.0,Typical Average,Typical Average,Brick Tile,Typical Average,Typical Average,No Exposure,Average Living Quarters,784,Unfinished,0,0,784,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,784,0,0,784,1,0,1,0,2,1,Good,5,Typical Functionality,0,,,,,0,0,,,Yes,0,0,116,0,0,0,,,,0,5,2008,Warranty Deed - Conventional,Normal Sale,109500
828,20,Residential Low Density,65.0,8529,Paved Road,,Slightly Irregular,Level,All Public Utilities,Inside,Gentle Slope,Sawyer West,Normal,Normal,Single Family Detached,One story,7,5,2001,2001,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,,0.0,Good,Typical Average,Poured Concrete,Good,Typical Average,No Exposure,Good Living Quarters,20,Unfinished,0,1434,1454,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1434,0,0,1434,0,0,2,0,3,1,Good,6,Typical Functionality,1,Typical Average,Attached to home,2001.0,Rough Finished,2,527,Typical Average,Typical Average,Yes,290,39,0,0,0,0,,,,0,4,2009,Warranty Deed - Conventional,Normal Sale,189000
829,60,Residential Low Density,,28698,Paved Road,,Moderately Irregular,Depressed,All Public Utilities,CulDSac,Severe Slope,Clear Creek,Normal,Normal,Single Family Detached,Two story,5,5,1967,1967,Flat,Tar & Gravel,Plywood,Plywood,,0.0,Typical Average,Typical Average,Poured Concrete,Typical Average,Good,Good,Low Quality,249,Average Living Quarters,764,0,1013,Gas forced warm air furnace,Typical Average,Yes,Standard Circuit Breakers & Romex,1160,966,0,2126,0,1,2,1,3,1,Typical Average,7,Minor Deductions Two,0,,Attached to home,1967.0,Finished,2,538,Typical Average,Typical Average,Yes,486,0,0,0,225,0,,,,0,6,2009,Warranty Deed - Conventional,Abnormal Sale,185000
830,160,Floating Village Residential,24.0,2544,Paved Road,Paved Road,Regular,Level,All Public Utilities,Inside,Gentle Slope,Somerset,Normal,Normal,Townhouse Inside Unit,Two story,7,5,2005,2005,Gable,Standard Composite Shingle,Metal Siding,Metal Siding,,0.0,Good,Typical Average,Poured Concrete,Good,Typical Average,No Exposure,Unfinished,0,Unfinished,0,600,600,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,520,623,80,1223,0,0,2,1,2,1,Good,4,Typical Functionality,0,,Detached from home,2005.0,Rough Finished,2,480,Typical Average,Typical Average,Yes,0,166,0,0,0,0,,,,0,7,2006,Warranty Deed - Conventional,Normal Sale,147400
831,20,Residential Low Density,80.0,11900,Paved Road,,Slightly Irregular,Level,All Public Utilities,Corner,Gentle Slope,North Ames,Normal,Normal,Single Family Detached,One story,6,5,1957,1957,Gable,Standard Composite Shingle,Hardboard Siding,Hardboard Siding,Brick Face,387.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,No Exposure,Average Rec Room,1040,Unfinished,0,352,1392,Gas forced warm air furnace,Typical Average,Yes,Fuse Box over 60 AMP (Average),1392,0,0,1392,1,0,1,1,3,1,Typical Average,6,Typical Functionality,2,Good,Attached to home,1957.0,Rough Finished,2,458,Typical Average,Typical Average,Yes,0,0,0,0,192,0,,,,0,6,2008,Warranty Deed - Conventional,Normal Sale,166000
832,160,Floating Village Residential,30.0,3180,Paved Road,Paved Road,Regular,Level,All Public Utilities,Inside,Gentle Slope,Somerset,Normal,Normal,Townhouse End Unit,Two story,7,5,2005,2005,Gable,Standard Composite Shingle,Metal Siding,Metal Siding,,0.0,Typical Average,Typical Average,Poured Concrete,Good,Typical Average,No Exposure,Unfinished,0,Unfinished,0,600,600,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,520,600,80,1200,0,0,2,1,2,1,Good,4,Typical Functionality,0,,Detached from home,2005.0,Rough Finished,2,480,Typical Average,Typical Average,Yes,0,166,0,0,0,0,,,,0,6,2006,Warranty Deed - Conventional,Normal Sale,151000
833,60,Residential Low Density,44.0,9548,Paved Road,,Slightly Irregular,Level,All Public Utilities,CulDSac,Gentle Slope,College Creek,Normal,Normal,Single Family Detached,Two story,7,6,2003,2003,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,Brick Face,223.0,Good,Typical Average,Poured Concrete,Good,Typical Average,No Exposure,Good Living Quarters,483,Unfinished,0,458,941,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,941,888,0,1829,1,0,2,1,3,1,Good,7,Typical Functionality,1,Typical Average,Attached to home,2003.0,Rough Finished,2,613,Typical Average,Typical Average,Yes,192,39,0,0,0,0,,,,0,1,2010,Warranty Deed - Conventional,Normal Sale,237000
834,20,Residential Low Density,100.0,10004,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,North Ames,Normal,Normal,Single Family Detached,One story,6,6,1964,1964,Gable,Standard Composite Shingle,Hardboard Siding,Plywood,Brick Face,180.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,No Exposure,Average Rec Room,196,Below Average Living Quarters,345,975,1516,Gas forced warm air furnace,Typical Average,Yes,Standard Circuit Breakers & Romex,1516,0,0,1516,0,0,1,1,3,1,Typical Average,6,Typical Functionality,0,,Attached to home,1964.0,Rough Finished,2,472,Typical Average,Typical Average,Yes,0,0,0,0,152,0,,,,0,2,2009,Warranty Deed - Conventional,Normal Sale,167000
835,20,Residential Low Density,75.0,7875,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,North Ames,Normal,Normal,Single Family Detached,One story,5,6,1961,1961,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,Brick Face,136.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,No Exposure,Average Rec Room,572,Unfinished,0,572,1144,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1144,0,0,1144,1,0,1,0,3,1,Typical Average,6,Typical Functionality,0,,Attached to home,1961.0,Unfinished,2,456,Typical Average,Typical Average,Yes,0,0,0,0,0,0,,Good Wood,,0,9,2008,Warranty Deed - Conventional,Normal Sale,139950
836,20,Residential Low Density,60.0,9600,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Sawyer,Normal,Normal,Single Family Detached,One story,4,7,1950,1995,Gable,Standard Composite Shingle,Vinyl Siding,Hardboard Siding,,0.0,Typical Average,Typical Average,Cinder Block,Good,Typical Average,No Exposure,Below Average Living Quarters,442,Unfinished,0,625,1067,Gas forced warm air furnace,Typical Average,Yes,Standard Circuit Breakers & Romex,1067,0,0,1067,0,0,2,0,2,1,Good,4,Minor Deductions Two,0,,Attached to home,1996.0,Unfinished,2,436,Typical Average,Typical Average,Yes,290,0,0,0,0,0,,,,0,2,2010,Warranty Deed - Conventional,Normal Sale,128000
837,30,Residential Medium Density,90.0,8100,Paved Road,Paved Road,Regular,Level,All Public Utilities,Inside,Gentle Slope,Old Town,Normal,Normal,Single Family Detached,One story,5,6,1948,1973,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,,0.0,Typical Average,Typical Average,Brick Tile,Typical Average,Typical Average,No Exposure,Average Rec Room,338,Unfinished,0,1221,1559,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1559,0,0,1559,1,0,1,0,2,1,Typical Average,5,Minor Deductions Two,0,,Detached from home,1948.0,Unfinished,2,812,Typical Average,Typical Average,Yes,0,116,230,0,0,0,,Good Wood,,0,6,2007,Court Officer Deed/Estate,Normal Sale,153500
838,160,Residential Medium Density,21.0,1680,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Briardale,Normal,Normal,Townhouse Inside Unit,Two story,6,5,1973,1973,Gable,Standard Composite Shingle,Hardboard Siding,Hardboard Siding,Brick Face,158.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,No Exposure,Below Average Living Quarters,330,Unfinished,0,153,483,Gas forced warm air furnace,Typical Average,Yes,Standard Circuit Breakers & Romex,483,504,0,987,1,0,1,1,2,1,Typical Average,5,Typical Functionality,0,,Detached from home,1973.0,Unfinished,1,264,Typical Average,Typical Average,Yes,0,0,0,0,0,0,,,,0,11,2008,Warranty Deed - Conventional,Normal Sale,100000
